step,loss,ema_loss,val_loss,lr,tokens_per_sec
10500,1.525985,1.769174,,0.00002554,2101.81
10520,1.238321,1.753748,,0.00002541,2115.32
10540,1.899835,1.679499,,0.00002527,2086.19
10560,1.753251,1.638932,,0.00002513,2130.46
10580,1.483398,1.680754,,0.00002499,2143.04
10600,1.487480,1.644515,2.985192,0.00002486,2073.35
10620,1.515852,1.646872,,0.00002472,2114.63
10640,2.023934,1.736897,,0.00002458,2103.44
10660,1.501101,1.758760,,0.00002445,2101.24
10680,1.838862,1.753511,,0.00002431,2106.34
10700,1.700546,1.726812,,0.00002418,2106.35
10720,2.164730,1.836808,,0.00002404,2106.47
10740,2.106670,1.811626,,0.00002390,2119.00
10760,1.756754,1.795212,,0.00002377,2108.67
10780,2.215848,1.741876,,0.00002363,2098.57
10800,1.824690,1.735625,2.681722,0.00002350,2086.68
10820,1.451567,1.671740,,0.00002336,2094.07
10840,1.879588,1.753402,,0.00002323,2115.13
10860,1.656436,1.717520,,0.00002310,2115.96
10880,1.896041,1.736907,,0.00002296,2108.98
10900,1.706664,1.819907,,0.00002283,2128.96
10920,1.814423,1.770685,,0.00002270,2116.34
